AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,Disease
Dog,Fever,Diarrhea,Vomiting,Weight loss,Dehydration,Yes,Canine Parvovirus
Dog,Fever,Diarrhea,Coughing,Tiredness,Pains,Yes,Canine Coronavirus
Dog,Fever,Diarrhea,Coughing,Vomiting,Anorexia,Yes,Canine Distemper 
Dog,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing,Yes,Canine Influenza
Dog,Fever,Diarrhea,Coughing,Lethargy,Blue Eye,Yes,Infectious canine hepatitis
Dog,Fever,Respiratory distress,Seizuers,Hyperesthesia,Sudden death,Yes,Pseudorabies
Dog,Ulcers,Diarrhea,Poor Appetite,Tarry Stool,Enlarged lymph nodes,Yes,Mast Cell Tumor
Dog,Facial Swelling,Bloody Drool,Foul Breath,Unable To Eat,Lossened Teeth,Yes,Melonoma(Mouth)
Dog,Fever,Difficulty breathing,Thrist and urination,Weight loss,Enlarged lymph nodes or Swelling,Yes,Lymphoma
Dog,Swelling on leg,Painfull,Nasal Discharge,Broken Bones,Nasal Discharge,Yes,Osteosarcoma
Dog,Short term lethargy,Loss of  appetite,Weekness in the back legs,Rapid Heart Rate,Week pulse,Yes,Hemangiosarcoma
Dog,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge,Yes,Brucellosis
Dog,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,Yes,Leptospirosis
Dog,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints,Yes,Lyme
Dog,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,Yes,Ehrlichiosis
Dog,Fever,Swelling of face or leg,Poor Appetite,Depression,Pains,Yes,Rocky mountain spotted fever
Dog,Diarrhea with muscus,Tensemus,Watery Stool,Flatulence,Pains,Yes,Clostridium
Dog,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite,Yes,Kennel cough
Dog,Fever,Inflammed eye,Coughing,Depression,Limping,Yes,Blastomycosis
Dog,Fever,Difficulty breathing,Coughing,Eye and Skin change,Unable to exercise,Yes,Histoplasmosis
Dog,Fever,Loss of  appetite,Coughing,Lethargy,Joint Pain,Yes,Coccidioidomycosis
Dog,Lesions in the nasal cavity,Lesions on nose,Nose Bleeds,Noisy Breathing,Lesions on nose,Yes,Cryptococcosis
Dog,Hair loss,Dandruff,Darkened skin,Crusting of the skin,Ulcerated skin,Yes,Ring worm
Dog,Greenish-yellow nasal discharge,Lack of pigmentation,Sneezing,Lethargy,Pain on face,Yes,Aspergillosis
Dog,Fever,Diarrhea,Poor Appetite,Weight loss,Vomitting,Yes,Pythiosis
Dog,Jaundice,Pneumonia ,Lession on the skin,pain ,Vomitting,Yes,Mucormycosis
Dog,Poor coat apperence ,Diarrhea,Vomiting,Weight loss,Dehydration,Yes,Glardiasis
Dog,Watering,No appp,Vomiting,Lethargy,Dehydration,Yes,Coccidiosis
Dog,Straining,Diarrhea,Vomiting,Weight loss,Blindness,Yes,Protothecosis
Dog,Upset stomach,Diarrhea,Vomiting,Muscle pain,Muscle stiffness,Yes,Trichinosis
Dog,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia,Yes,Echinococcosis
Dog,Allergic Reaction,Poor appetite,Coughing,Weight loss,Distended chest,Yes,HeartWorm
Dog,Fever,Anoxeria,Weight loss,Lethargy,Pain,Yes,Panosteitis
Dog,Limping,Willnot run to jump,Swelling ,Week legs,Pain on leg,Yes,Luxating Patella 
cat,Fever,Eye ulcer,Congestion,Depression,Pink eye,Yes,Feline herpesvirus
cat,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis,Yes,Feline calicivirus
cat,Fever,Seizures,Hydrophobia,Jaw is dropped,Shyness or aggression,Yes,Rabies
cat,Bloody Urine,Diffculty breathing,Vomiting,Weight loss,Anorexia,Yes,Bladder Cancer
cat,Loss of eat,Difficulty in breathing,Swelling ,Lameness,Neurologic abnormalities,Yes,Bone caner
cat,Dark or black face,Diarrhea,Vomiting,Blood in faces,Pain,Yes,Intestinal cancer
cat,Jaundice,Difficulty in breathing,Seizuers,Lethargy,Pale gums,Yes,Liver cancer
cat,Appetite varies,Diarrhea,Vomiting,Weight loss,Pain,Yes,Lymphoma
cat,Loss of eat,Fell unwell,Lethargy,Weight loss,Skin issue,Yes,mammary cancer
cat,Sickness,Loss of  appetite,Vomiting,Weight loss,Raised growth or bump,Yes,mast cell tumor
cat,Nasal Bleeding,Diffulty chewing,Swelling ,Weight loss,Anorexia,Yes,Nose cancer
cat,Ulcers,Lesions ,Scabs,Lumps,"Bumps(black,grey or red)",Yes,Skin cancer
cat,Gasc,Loss of  appetite,Blood in stool,Stomach growling,Black stool,Yes,Stomach cancer
cat,Shaking head,Scartching ear,Black on ear,Bad smell,Red and inflammation ear,Yes,Ear mites
cat,Attacks,Loss of  appetite,Coughing,Weight loss,Periodic vommiting,Yes,Heartworm
cat,Blood stool,Diarrhea,Coughing,Weight loss,Anemia,Yes,Hookworm
cat,Nasal discharge,Nosebleeds,inflamed nostrils,Sneezing,Lound breathing,Yes,Aspergillosis
cat,Polyuria,Loss of  appetite,Vomiting,Weight loss,Polydipsa,Yes,Familial renal disease
cat,Exessive Urination,Change in gait,Vomiting,Weight loss,Inability to jump,Yes,Diabiatics
cat,Convulsion,Loss of consciousness,chewing,Twitching,Salivating,Yes,Epilesy
cat,Wheezing,Rapid Breathing,Coughing,Swallowing,Effort to breath,Yes,Asthma
cat,Jaundice,Weekness,Lethargy,Weight loss,Anorexia,Yes,hepatic lipidosis
cat,Lession on cat skin,Dandruff in cat coat,Red patches,Hair loss,Skin issue,Yes,Ring worm
cat,Lethargy,Diarrhea,Vomiting,Discharge from eye,Anorexia,Yes,Ticks
cat,Skin irritation,Scartching,Lethargy,Hair loss,Excessive grooming,Yes,Fleas
cat,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements,Yes,cerebellar hypoplasia
cat,Sensitivity to bright light,Disharge from affected eye,Inflammation,Clouded cornea,Rubbing eye,Yes,Corneal Ulcer
cat,Fever,Diarrhea,Vomiting,Cramps,Dehydration,Yes,Zoonosis
cat,Tenderness,Erythema,Swelling ,Scartch,Pain,Yes,patesurella multicida
cat,Fever,Diarrhea,Vomiting,Salivation,Decrease appetite,Yes,salmonella poisoning
cat,Scaly patches of skin,Sore,Scabs,Scartch,Hair loss,Yes,Scabies
cat,Fatty stool,Diarrhea,Vomiting,Weight loss,Pain,Yes,Giardiasis
cat,Nausea,Loss of appetite,Vomiting,Firm,Distended stomach,Yes,Bladder stone
cat,Fever,Swelling  in the bite area,Lethargy,Limp,Pain,Yes,Cat bite
cat,Fever,Loss of appetite,Eyeproblem,Liver disease,Nuerological,Yes,Toxoplasmosis
cat,Fever,Mild sneezing,Coughing,Nasal,Ocular discharge,Yes,bordetella bronchiseptica
Rabbit,Most often none,Sneezing,Nasal Discharge,Dyspnea,Pain,Yes,Bordetela holmessi
Rabbit,Fever,Diarrhea,Vomiting,Blood from mouth,Shock,Yes,Buboni plaque
Rabbit,Discomfort,Diarrhea,Dry or dull hair,Grinding teeth,Pain,Yes,Hair ball
Rabbit,Loss of appetite,Swelling,Nasal Discharge,Blindness,Lethargy,Yes,myxomatosis
Rabbit,Rhinitis,Pneumonia ,abscessess,Torticollis,Septicemia,Yes,pasteurella
Rabbit,Fever,Diarrhea,Enteritis,Weight loss,Stomach  cramps,Yes, Esherichia coli
Rabbit,Immediate death,Difficulty in breathing,Blue colored lip,Bloody discharge,Neurologic abnormalities,Yes,Hemorhagic
Rabbit,Fever,Pox lession on skin,Skin reashes,Nasal discharge,Mortality varies,Yes,Rabbit pox
Rabbit,Red on affected area,Horny growth,Wart-like growth,Red skin,Lesions on ear,Yes,Papilloma
Rabbit,Fever,Chills,Skin ulcer,Exhaustion,Swollen and painfull,Yes,Tularemia
Rabbit,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy,Yes,Tyzzer
cow,loss in weight,emaciation,loss of appetite,Weakness,diarrhoea,Yes,verminosis
chicken,loss of appetite,diarrhea,swollen purple wattle,Swollen comb,Lameness,Yes,fowl cholera
chicken,loss of appetite,diarrhea,ruffled feathers,Weight loss,Inability to absorb nutrients,Yes,coccidiosis
chicken,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,Yes,fowl pox
chicken,loss of appetite,thirst,ruffled feathers,Closed eyes,Diarrhea,Yes,Salmonellosis
cow,Fever,weakened legs,los of the ability to walk,Mammary glads,Fluif filled blisters,Yes,foot disease
cow,Fever,weakened legs,los of the ability to walk,Weight loss,Lameness,Yes,Mouth Disease
cattle, abortion at the end of gestation,Fatigue,weak calves,Join pains,Swelling of internal organs,Yes,brucellosis
mammal,swollen,red-colored ,hot udder,Milk getting out more watery,Milk getting out more thick,Yes,mastitis 
Cattle,Fever,Distress,Trembling,Staggering,Convulsion,Yes,Anthrax
Cattle,Fever,Animal become lame,Prostrat,Painfull Swalling,Lameness,Yes,Black Quarter
Cattle,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,Yes,Calf Disptherich
Cattle,Fluif Faeces on blood and muscle,Sudden Death,Blooody Fluid,Red Diarrhea,Faeces are streake with blood,Yes,Coccoidiosis
Cattle,Fever,Pneumonia ,Stand with head droping,Weight loss,Abnormal behaviour,Yes,Contagious Bovin
Cattle,Fever,Slightly Swollen,Lession on the skin,Milky Hard,Papules appear on teats anad udder,Yes,Cow pox
Cattle,Fever,Dull,Hind quarted soil,Animal stop feed,Decrease in milk production,Yes,Diarrhea
Cattle,Severe,Diarrhea,Blood on faces,Appetite,Milk reduce,Yes,Dysentery
Cattle,Fever,Depression,Relunctance to move,Salivation,Nasal Discharge,Yes,Haemorrhagic
Cattle,Normal appetite,Diarrhea,Swelling may occur under jaw,Weight loss,Drop in milk production,Yes,Johnes Disease
Cattle,Swelling on leg,Heat,Hardness,Redness,Pain,Yes,Mastities
Cattle,Inability to stand ,Diarrhea,Bottle Jaw,Pot belly,Dry Hair coat,Yes,Parasitic Disease
Cattle,Excitability,Nervousness,loss of appetite,Hyper sensitivity,Weakness,Yes,Milk fever
Cattle,Fever,Depression,Attack,Bite other animals,Pain,Yes,Rabies
Cattle,Fever,Difficulty in breathing,Coughing,Painfull,Eye become dull,Yes,Pnemonia
Cattle,Fever,Ulcer on gum,Red eye,Yellowish Discharge,Bloody Diarrhea,Yes,Rinder Pest
Cattle,Fever,Diarrhea,Coughing,Consistency of milk,Pain,Yes,Tuberculosis
Cattle,Animal gets uneasy,Difficulty in breathing,Difficult in respiration,Excessive production,Stamping And pedding of hind eye,Yes,Tympany
Horse,Fever,Chills,Severe colic,Weakness,Anorexia,Yes,Anthrax
Horse,Fever,Body stiffness,Lethargy,Severe inflammation,Pain,Yes,Brucellosis
Horse,Sickness,Diarrhea,Weight loss,Nausea,Dehydration,Yes,Cryptosporidiosis
Horse,Sudden death,Trouble walking,Paralysis,Depression,Convulsion,Yes,Encephalitis
Horse,Fever,Abortion,Kidney failure,Inflammation of eye,Eye redness,Yes,Leptospirosis
Horse,Small red bumps,Pneumonia ,Septic Arthritis,Skin infection,Pain,Yes,MRSA
Horse,Fever,Ataxia,Aggressiveness,Depression,Obscure Lameness,Yes,Rabies
Horse,Ring shaped Lesion,Round patches,Dry skin,Size of lesions vary,Pain,Yes,Ringworm
Horse,Fever,Diarrhea,loss of appetite,Colic,Weakness,Yes,Salmonella
Horse,Fever,Depression,loss of appetite,Stumbling,Ataxia,Yes,Tickborne
Turtle,Bubbles in the mouth,Wheezing,loss of appetite,Lethargy,Nasal Discharge,Yes,Superfacial wounds
Turtle,Changes in outer layer skin,Swelling of eye,loss of appetite,Lethargy,Respiratory infection,Yes,Vitamin A deficiency
Turtle,Red Tinge,Slim over the shell,Bad smell,Easily damage shell,Flaking of the Scutes,Yes,Shell injection
Turtle,Passing of undigested food,Diarrhea,Vomiting,Gas or bloating,Dehydration,Yes,Parasitic Disease
Hamster,Smell,Diarrhea,loss of appetite,Excess sleeping,Folded Ears,Yes,Wet Tail
Hamster,Loss of activity,Rough coat,loss of appetite,Weight loss,Eventually death,Yes,Lymphocyctes
Hamster,Fever,Diarrhea,Vomiting,Dehydration,Pain,Yes,Salmonellosis
Hamster,Bald patches,Hair loss,Crusty,Flaky,Red lesion from bald patches,Yes,Ring worm
Hamster,Poor condition,Enlarged lymph nodes,Diarrhea,Weight loss,Pain,Yes,Pseudotuberculosis
Hamster,Fever,Chills,Coughing,Progressive weakness,Joint Pain,Yes,Tularemia
Hamster,Heavy infection,Diarrhea,Vitamin and minerals defiency,Weight loss,Pain,Yes,Tapeworm
Lion,Fever,Diarrhea,Muscle weakness,Muscle pain,Abdonormal discomfort,Yes,Trichinosis
Lion,Fever,Chills,Headache,Nausea,Pain,Yes,Filariasis 
Lion,Thicked skin,Hair tining,Hair loss,Scabbing,Itchiness,Yes,Sarcoptic Mange 
Lion,Facial edema,Loss of earing,Vomiting,Head ache,Throat and Ear pain,Yes,Pentastomiasis
Lion,General malaise,Hepatic failure,Vomiting,Weight loss,Abdonormal pain,Yes,Enchinococcosis
Lion,Upset stomach,Loss of appetite,Nause,Weight loss,Abdonormal pain,Yes,Taeniasis
Lion,Fever,Muscle Loss,Skeleten pain,Weight loss,Wasting,Yes,Hepatozoonosis 
Lion,Oedema,Swelling of face or leg,Swelling of neck,Weight loss,Pain,Yes,Antrax 
Lion,Poor growth,Short stature,Enlargement of bones,Lameness,Weigth bearing long bones,Yes,Rickets 
Lion,Fever,Chills,Sweat,Head ache,Fatique,Yes,Babesiosis
Lion,Fever,Loss of appetite,Weakness,Weight loss,Vomitting,Yes,Bovine tuberculosis
Lion,Dullness,Lacrimation,Coughing,Diarrhea,Seizures,Yes,Canine Distemper 
Lion,Vomiting,Bloody diarrhea,Lethargy,Dehydration,Anorexia,Yes,Feline Parvovirus
Lion,Fever,Uncharacteristic hiding,Depression,Dehydration,Stopped eat,Yes,Feline infection peritonitics
Lion,Fever,Poor coat condition,Infection of the skin,Weight loss,Fatique,Yes,Faline leukaemia virus
Lion,Weakness,Stiffness,Trembling,White mark on the muscle,Loss of vitamin E,Yes,White muscle
Fox,Partial Paralysis,Staggering as drunk,Self Mutilation,Acting aggressive,Acting unnaturally tame,Yes,Rabies
Fox,Fever,Tiredness,Headache,Skin rashes,Pain,Yes,Ticks
Fox,Thick Crusting,Itchiness,Hair loss,Watery eye,Pain,Yes,Mites
Fox ,Constant pacing,Facial muscle twitching,abnormalalities,Blindness,Muscle pain,Yes,Toxoplasma gondii
Fox,Loss od appetite,Wheezing,Seizuers,Skin rashes,Fatique,Yes,intestinal worms
Fox,Indigestion,Abdminal pain,Constipation,Diarrhea,Nausea,Yes,Flukes
Fox,Blood in urine,Diarrhea,Vomiting,Lethargy,Bleeding in eye and skin,Yes,Lungworm
Goat,Fever,Malaise,Weakness,Weight loss,Pain,Yes,Brucellosis
Goat,Fever,Diarrhea,Vomiting,Stomach cramps,Nausea,Yes,campylobacteriosis
Goat,Fever,Lack of coordination,Depression,Salivation,Facial paralysis,Yes,Listeriosis
Goat,Sores on lip,Infection,Sores on lower leg and teats,Lesion,Pain,Yes,ORF
Goat,Abortion on late pregancy,Stillbirth,Retained Placenda,Endomeritis,Decrease appetite,Yes,Q fever
Goat,paresis,paralysis,Weakness,Stomach cramps,Diarrhea,Yes,Salmonellosis
Goat,Fever,Diarrhea,Swelling,Weight loss,Pain,Yes,Johnes Disease
Goat,Fever,Hemolytic anemia,Hemoglobinuria,pulmonary congestion,Jaundice,Yes,leptospirosis
Goat,Abortion ,Mummification,Stillbirth,Weak kids,Pain,Yes,Toxoplasmosis
Goat,Runny nose,Difficulty in breathing,Coughing,Weakness,Loss of appettite,Yes,Mycoplasma
Goat,Fever,Nasal discharge,Respiratory distress,Pox lesion,Pain,Yes,Goat pox
Goat,Fever,Dark colored bloody,Incoordination,Difficulty in breathing,Terminal convulsion,Yes,Anthrax
Goat,Fever,Dysentery,Swelling,Immediate death,Pain,Yes,Haemorrhagic Septicemia
Goat,Fever,Respiratory distress,Mucous discharge,Reduce feed,Weight gain,Yes,Pneumonia
Goat,Decreased milk,Holding limbs off the ground,Weight loss,Lameness,Wool production,Yes,Foot Rot
Goat,Swelling of udder,change in milk,Swollen,Tender to touch,Pain,Yes,mastitis 
Goat,Fever,Respiratory distress,Occular discharge,Mouth lesion,Nasal Discharge,Yes,Peste Des Petits Ruminants (PPR)
Goat,Fever,Wound lesion,Excess salivary,Difficult in walking,Pain,Yes,Foot and mouth disease
Goat,Emaciation,Edema in lower jaw,Coughing,Shivering,Anemia,Yes,Flue infection
Goat,Fever,Reduce growth,Kid moratality,Weakness,Dullness,Yes,Tapeworm
Goat,Fever,Reduce growth,Edema in lower jaw,Weight loss,Anemia,Yes,Round Worm
Goat,Emaciation,Diarrhea,Kid moratality,Weakness,Anemia,Yes,Coccidiosis
Goat,SkinAllergy,Reduce growth,Wound,Head ache,Dizziness,Yes,Tick
Goat,Watering of eyes,Redness of white of the eye,Swelling of eyelid,Cornea become cloudy,Tear production,Yes,Pink eye
Goat,Berberi,Wasting,Nervous,Weight loss,Anorexia,Yes,Deficiency of vitamin B1
Goat,Gastritis,morbidity,Bloody,Mortality,Anemia,Yes,Haemonchosis
Deer,Fever,Severe headache,Vomiting,Coughing,Fatique,Yes,Qfever
Deer,Fever,Tiredness,Swollen kidney,Hematuria,Muscle aches,Yes,leptospisos
Deer,Fever,Diarrhea,Decreased appetite,Vomiting,Bloody,Yes,campylobacterosis
Deer,Gas,Diarrhea,Abdominal discomfort,Vomiting,Nausea,Yes,giardiasis
Deer,Drooping ears,Lack of coordination,Drooling,Wasting,Listlessness,Yes,Chronic Wasting
Chicken,Edema,diarrhea,Nasal Discharge,Decresed egg production,Sneezing,Yes,avian influenza
Chicken,Drooping wings,Depression,Nasal Discharge,Coughing,Greenish diarrhea,No,New castle
Chicken,Weakness,Yellow or green dropping,Purplish combs,Wattles,Drop on egg production,No,Salmonellosis
Chicken,Neck paralysis,Diarrhea,ruffled feathers,Labored breathing,Weakness,No,Botulism
Chicken,Facial Swelling,Lacrimation,Diarrhea,Anorexia,Nasal Discharge,No,infectious coryza
Chicken,loss of appetite,Depression,Paralyzed leg,Weight loss,Anemia,No,Marek's
Chicken,Dejection,Loss of appetite,Slow growth,Diarrhea,Lesion,No,Thrush
Chicken,Severe swellimg,Heavy Breathing,Diarrhea,Weight loss,Pain,No,Air sac
Chicken,Weakness,Diarrhea,High moratality,Dehydration,Anorexia,No,Pullorium
Monkey,Fever,Hepatitis,Skin rashes,Weight loss,Pain,No,Simian immunodeficiency
Monkey,Sneezing,Epistaxis,Coughing,Difficulty in breathing,Nasal Discharge,No,Rhinitis
Monkey,Sneezing,Unilateral Nasal discharge,Gagging,Retching,Weight loss,Yes,Nasal cavity
Monkey,Fever,Depression,Coughing,Weight loss,Anorexia,Yes,Trachiobronchial
Monkey,Shallow breathing,Halitosis,Coughing,Lethargy,Nasal Discharge,Yes,Airsacculitis
Monkey,Dyspnea,Sneezing,Coughing,Difficulty in breathing,Infection,Yes,Ashtma
Monkey,Dyspnea,Sneezing,Coughing,Difficulty in breathing,Pain,Yes,Ashtma
Monkey,Fever,Rhinorrhea,Coughing,Sneezing,Dehydration,Yes,Syntical virus
Monkey,Fever,Rhinorrhea,Coughing,Facial edema,Dyspnea,Yes,Measles
Monkey,Fever,Rhinorrhea,Coughing,Sneezing,Nasal Discharge,Yes,Influenza A and B
Monkey,Mortality,Painfull,Coughing,Weight loss,Nasal Discharge,Yes,Metapneumovirus
Monkey,Skin rashes,Diarrhea,Death,Facial edema,Pain,Yes,Adenovirus
Monkey,Fever,Dyspnea,Coughing,Lethargy,Weightloss,Yes,SARS corona virus
Monkey,Fever,Dyspnea,Coughing,weakness,Anorexia,Yes,Tuberculosis
Monkey,Facial edema,Dyspnea,Conjuctivtis,Weakness,Pharyngitis,Yes,Pneumococcal infection
Monkey,Fever,Pneumonia ,Congestion,Lethargy,Nasal Discharge,Yes,Upper respiratory infection
Monkey,Fever,Death,Coughing,Weight loss,Nasal Discharge,Yes,Klebsilla Pneumonia
Monkey,Sneezing,Convulsion,Seizuers,Weight loss,Nasal Discharge,Yes,Whooping cough
Monkey,Fever,Death,Coughing,Dyspnea,Anorexia,Yes,Bronchiseptica
Monkey,Dyspnea,Difficulty in breathing,Coughing,Lethargy,Nasal Discharge,Yes,Pasteurellosis
Monkey,Air sacculitis,Halitosis,Coughing,Enteritis,Weight loss,Yes,Psuedomonas
Monkey,Fever,Convulsion,Sudden death,Urine retention,Weight loss,Yes,Coccidiodomycosis
Monkey,Dyspnea,Neurologic sign,Coughing,Depression,Anorexia,Yes,Cryptococcosis
Monkey,Fever,Dyspnea,Coughing,Lethargy,Anorexia,Yes,Pneumocystis
Monkey,Labored breathing,Dyspnea,Coughing,Depression,Anorexia,Yes,Blastomyces
Monkey,Blood from mouth,Diarrhea,Coughing,Lethargy,Weight loss,Yes,Toxoplasmosis
Monkey,Hemopytsis,Diarrhea,Asymptomatic,Death,Epistaxis,Yes,Strongyloidiasis
Monkey,Restlessness,Weakness,Blue straws,Death,Pain,Yes,Nasal Annelids
Birds,Stripped remiges,Less Feather growth,Ruffled feathers,Defienciency in vitamin,Diarrhea,Yes,Angel Wings
